"date","num_passengers","TSA_num_detected_firearms","TSA_num_detected_firearms_found_loaded","TSA_num_detected_firearms_found_w_round_chambered"
2012.125,76754393,310,244,77
2012.375,86994510,367,313,88
2012.625,86932410,404,351,106
2012.875,82508279,414,359,121
2013.125,77925934,358,295,92
2013.375,90145541,524,443,146
2013.625,87473043,463,389,137
2013.875,85284147,452,381,113
2014.125,81176991,444,373,133
2014.375,93196565,562,478,159
2014.625,93266878,556,468,134
2014.875,89253412,564,471,170
2015.125,84947752,553,481,178
2015.375,98771267,632,543,205
2015.625,101499611,656,555,215
2015.875,90224355,647,554,200
2016.125,92832613,666,579,234
2016.375,106943833,804,689,250
2016.625,108744306,877,763,289
2016.875,104657395,880,753,286
2017.125,97006331,812,722,264
2017.375,112818443,939,806,285
2017.625,113227214,1025,879,312
2017.875,110413322,957,822,299
