"month","day","year","date","num_total","num_positive","day_of_year","time_relative_to_jan_1_2000"
8,10,2000,2000.60792349727,92,2,222,222
9,7,2000,2000.68442622951,86,7,250,250
10,19,2000,2000.79918032787,121,11,292,292
11,15,2000,2000.87295081967,123,12,319,319
12,6,2000,2000.93032786885,130,24,340,340
1,4,2001,2001.0095890411,126,26,4,369
2,1,2001,2001.08630136986,109,0,32,397
3,8,2001,2001.18219178082,118,10,67,432
4,4,2001,2001.25616438356,186,6,94,459
5,3,2001,2001.33561643836,21,3,123,488
6,18,2001,2001.46164383562,176,5,169,534
7,20,2001,2001.54931506849,141,2,201,566
7,26,2001,2001.56575342466,87,0,207,572
8,20,2001,2001.63424657534,127,7,232,597
8,29,2001,2001.65890410959,124,1,241,606
9,19,2001,2001.71643835616,116,9,262,627
9,26,2001,2001.73561643836,121,0,269,634
10,17,2001,2001.79315068493,125,17,290,655
11,19,2001,2001.88356164384,122,33,323,688
12,17,2001,2001.9602739726,124,11,351,716
1,16,2002,2002.04246575342,144,2,16,746
1,22,2002,2002.05890410959,20,2,22,752
1,30,2002,2002.08082191781,165,1,30,760
2,5,2002,2002.09726027397,20,5,36,766
2,22,2002,2002.14383561644,85,7,53,783
3,18,2002,2002.2095890411,124,3,77,807
4,18,2002,2002.29452054795,138,0,108,838
5,21,2002,2002.38493150685,128,3,141,871
6,17,2002,2002.45890410959,126,2,168,898
7,15,2002,2002.53561643836,92,0,196,926
8,14,2002,2002.61780821918,274,20,226,956
9,16,2002,2002.70821917808,84,4,259,989
10,17,2002,2002.79315068493,89,11,290,1020
11,18,2002,2002.88082191781,77,6,322,1052
12,12,2002,2002.94657534247,90,4,346,1076
1,20,2003,2003.05342465753,87,3,20,1115
2,20,2003,2003.13835616438,82,10,51,1146
3,17,2003,2003.20684931507,85,0,76,1171
4,22,2003,2003.30547945205,74,0,112,1207
5,19,2003,2003.37945205479,90,6,139,1234
6,18,2003,2003.46164383562,92,1,169,1264
